id_noticia,fecha,año,mes,fuente,titular,contenido,categoria,severidad,impacto_cultivos_str,paises_afectados_str,n_paises_afectados,sentiment_compound,sentiment_label
NEWS7644,2022-06-10,2022,6,World Grain,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,alta,todos,Argentina|Brasil,2,0.75,positivo
NEWS4020,2022-06-29,2022,6,Bloomberg Commodities,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Kenia,1,0.75,positivo
NEWS1658,2022-07-26,2022,7,Dairy Reporter,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,Estados Unidos,1,0.75,positivo
NEWS7467,2022-08-03,2022,8,Bloomberg Commodities,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Nueva Zelanda,1,0.75,positivo
NEWS4443,2022-08-08,2022,8,Bloomberg Commodities,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,alta,todos,Nueva Zelanda,1,0.75,positivo
NEWS4380,2022-08-31,2022,8,Reuters Agricultura,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,media,todos,Francia,1,0.75,positivo
NEWS9501,2022-09-15,2022,9,Bloomberg Commodities,España aumenta exportaciones de arroz,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 3% en el último mes. España se posiciona como un actor clave en este mercado.,mercado,media,arroz,Alemania|Nueva Zelanda,2,0.45,positivo
NEWS6786,2022-10-07,2022,10,AgriCensus,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,baja,todos,Estados Unidos|India|Alemania,3,0.75,positivo
NEWS9010,2022-10-14,2022,10,Meat+Poultry,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Australia,1,0.75,positivo
NEWS8516,2022-10-23,2022,10,World Grain,Heladas tardías dañan frutales en China,Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,clima,baja,maíz,España,1,-0.9,negativo
NEWS1225,2022-11-09,2022,11,AgriCensus,Demanda china impulsa mercado de maíz,El mercado internacional de maíz muestra una tendencia bajando. Los precios han bajando un 11% en el último mes. Alemania se posiciona como un actor clave en este mercado.,mercado,media,maíz,Estados Unidos|Alemania,2,-0.15,negativo
NEWS4675,2022-11-25,2022,11,Meat+Poultry,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,Francia|China,2,0.75,positivo
NEWS3628,2022-12-10,2022,12,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,media,todos,Alemania|China,2,0.75,positivo
NEWS4840,2022-12-26,2022,12,Bloomberg Commodities,Nueva política agrícola en Rusia busca mejorar sostenibilidad,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,baja,todos,Italia,1,0.75,positivo
NEWS5385,2023-01-16,2023,1,World Grain,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,tecnologia,alta,todos,Nueva Zelanda|Estados Unidos|Brasil,3,0.75,positivo
NEWS9462,2023-02-09,2023,2,AgriCensus,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,alta,todos,China,1,0.75,positivo
NEWS2755,2023-03-07,2023,3,AgriCensus,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,baja,todos,Kenia,1,0.75,positivo
NEWS9682,2023-03-15,2023,3,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,politica,baja,todos,Rusia|México|Kenia,3,0.75,positivo
NEWS1320,2023-04-14,2023,4,Bloomberg Commodities,Nueva política agrícola en Australia busca mejorar sostenibilidad,El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Estados Unidos,1,0.75,positivo
NEWS1023,2023-04-25,2023,4,Meat+Poultry,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Kenia|Francia,2,0.75,positivo
NEWS5455,2023-05-11,2023,5,Bloomberg Commodities,Demanda china impulsa mercado de arroz,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 26% en el último mes. Brasil se posiciona como un actor clave en este mercado.,mercado,media,arroz,España|Italia,2,0.3,positivo
NEWS2574,2023-05-30,2023,5,Bloomberg Commodities,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,comercio,alta,todos,Kenia|Rusia|Francia,3,0.75,positivo
NEWS6507,2023-06-12,2023,6,World Grain,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,sanidad,baja,todos,Argentina|Canadá,2,0.75,positivo
NEWS2690,2023-06-24,2023,6,World Grain,México restringe importaciones de trigo,El mercado internacional de trigo muestra una tendencia bajando. Los precios han bajando un 6% en el último mes. México se posiciona como un actor clave en este mercado.,mercado,media,trigo,Argentina|España|Brasil,3,-0.45,negativo
NEWS9987,2023-07-13,2023,7,Bloomberg Commodities,Precios de maíz alcanzan máximo histórico,El mercado internacional de maíz muestra una tendencia subiendo. Los precios han subiendo un 9% en el último mes. Alemania se posiciona como un actor clave en este mercado.,mercado,media,maíz,España|Brasil|Canadá,3,0.0,neutro
NEWS5201,2023-07-28,2023,7,Dairy Reporter,Precios de arroz alcanzan máximo histórico,El mercado internacional de arroz muestra una tendencia bajando. Los precios han bajando un 7% en el último mes. India se posiciona como un actor clave en este mercado.,mercado,media,arroz,Argentina,1,-0.45,negativo
